true_idx,true_label,correct
0,n01440764,0.0
658,n03775071,0.0
659,n03775546,0.0
660,n03776460,0.0
661,n03777568,0.0
662,n03777754,0.0
663,n03781244,0.0
664,n03782006,0.0
665,n03785016,0.0
666,n03786901,0.0
667,n03787032,0.0
668,n03788195,0.0
669,n03788365,0.0
670,n03791053,0.0
671,n03792782,0.0
672,n03792972,0.0
673,n03793489,0.0
674,n03794056,0.0
675,n03796401,0.0
676,n03803284,0.0
677,n03804744,0.0
678,n03814639,0.0
679,n03814906,0.0
680,n03825788,0.0
681,n03832673,0.0
682,n03837869,0.0
683,n03838899,0.0
684,n03840681,0.0
657,n03773504,0.0
685,n03841143,0.0
656,n03770679,0.0
654,n03769881,0.0
627,n03670208,0.0
628,n03673027,0.0
629,n03676483,0.0
630,n03680355,0.0
631,n03690938,0.0
632,n03691459,0.0
633,n03692522,0.0
634,n03697007,0.0
635,n03706229,0.0
636,n03709823,0.0
637,n03710193,0.0
638,n03710637,0.0
639,n03710721,0.0
640,n03717622,0.0
641,n03720891,0.0
642,n03721384,0.0
643,n03724870,0.0
644,n03729826,0.0
645,n03733131,0.0
646,n03733281,0.0
647,n03733805,0.0
648,n03742115,0.0
649,n03743016,0.0
650,n03759954,0.0
651,n03761084,0.0
652,n03763968,0.0
653,n03764736,0.0
655,n03770439,0.0
686,n03843555,0.0
687,n03854065,0.0
688,n03857828,0.0
721,n03938244,0.0
722,n03942813,0.0
723,n03944341,0.0
724,n03947888,0.0
725,n03950228,0.0
726,n03954731,0.0
727,n03956157,0.0
728,n03958227,0.0
729,n03961711,0.0
730,n03967562,0.0
731,n03970156,0.0
732,n03976467,0.0
733,n03976657,0.0
734,n03977966,0.0
735,n03980874,0.0
736,n03982430,0.0
737,n03983396,0.0
738,n03991062,0.0
739,n03992509,0.0
740,n03995372,0.0
741,n03998194,0.0
742,n04004767,0.0
743,n04005630,0.0
744,n04008634,0.0
745,n04009552,0.0
746,n04019541,0.0
747,n04023962,0.0
720,n03937543,0.0
719,n03935335,0.0
718,n03933933,0.0
717,n03930630,0.0
689,n03866082,0.0
690,n03868242,0.0
691,n03868863,0.0
692,n03871628,0.0
